galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
UGC06787,src/sidmkit/sparc_data/Rotmod_LTG/UGC06787_rotmod.dat,21.3,nfw,71,4,1241.4723056745995,67,18.52943739812835,1249.4723056745995,1258.5230251827647,1.6984473894561452,0.4858304604912168,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0041463375091552734,,2.4999999999999996,,5.271992104735289
UGC06787,src/sidmkit/sparc_data/Rotmod_LTG/UGC06787_rotmod.dat,21.3,burkert,71,4,1253.8933348451262,67,18.71482589321084,1261.8933348451262,1270.9440543532914,2.040694930513293,0.4801738157432738,True,`ftol` termination condition is satisfied.,0.0026702880859375,1.4972192845920778,,6.796515898586252,
UGC06818,src/sidmkit/sparc_data/Rotmod_LTG/UGC06818_rotmod.dat,18.0,nfw,8,3,17.774008167583236,5,3.5548016335166475,23.774008167583236,24.012332792622743,0.3635453030744178,,True,`ftol` termination condition is satisfied.,0.002137422561645508,,2.4999999995905497,,4.82946932998312
UGC06818,src/sidmkit/sparc_data/Rotmod_LTG/UGC06818_rotmod.dat,18.0,burkert,8,3,6.673031592651117,5,1.3346063185302233,12.673031592651117,12.911356217690624,0.44791169964957595,,True,`ftol` termination condition is satisfied.,0.0012028217315673828,1.2084094654539508,,6.928783422243645,
UGC06917,src/sidmkit/sparc_data/Rotmod_LTG/UGC06917_rotmod.dat,18.0,nfw,11,3,7.0865636387583395,8,0.8858204548447924,13.086563638758339,14.280249457153452,0.4733807985817816,,True,`ftol` termination condition is satisfied.,0.001550436019897461,,1.2304216408950952,,6.587317921422132
UGC06917,src/sidmkit/sparc_data/Rotmod_LTG/UGC06917_rotmod.dat,18.0,burkert,11,3,1.7442336959348512,8,0.2180292119918564,7.7442336959348514,8.937919514329963,0.49111020816555556,,True,`ftol` termination condition is satisfied.,0.0009398460388183594,0.5604230950336945,,7.755547743196347,
UGC06923,src/sidmkit/sparc_data/Rotmod_LTG/UGC06923_rotmod.dat,18.0,nfw,6,3,3.719884193734954,3,1.2399613979116513,9.719884193734954,9.09516260141912,0.4779340731635826,,True,`ftol` termination condition is satisfied.,0.0032095909118652344,,2.0304942559942507,,5.538945731630475
UGC06923,src/sidmkit/sparc_data/Rotmod_LTG/UGC06923_rotmod.dat,18.0,burkert,6,3,1.8608244654403348,3,0.620274821813445,7.860824465440334,7.2361028731245,0.48201754609490294,,True,`ftol` termination condition is satisfied.,0.0009732246398925781,0.5161833220420817,,7.651579871973263,
UGC06930,src/sidmkit/sparc_data/Rotmod_LTG/UGC06930_rotmod.dat,18.0,nfw,10,3,2.2160431626867494,7,0.3165775946695356,8.216043162686749,9.123798441668887,0.49609094417096866,,True,`ftol` termination condition is satisfied.,0.001352071762084961,,0.9982716889836618,,6.880555453651766
UGC06930,src/sidmkit/sparc_data/Rotmod_LTG/UGC06930_rotmod.dat,18.0,burkert,10,3,1.3953611103438956,7,0.19933730147769937,7.395361110343895,8.303116389326034,0.49297345274103826,,True,`ftol` termination condition is satisfied.,0.0010652542114257812,0.5657313227967381,,7.717637929955449,
UGC06973,src/sidmkit/sparc_data/Rotmod_LTG/UGC06973_rotmod.dat,18.0,nfw,9,4,4.033362115088353,5,0.8066724230176707,12.033362115088353,12.822260424433232,0.11504992833230886,0.5324426137816942,True,`ftol` termination condition is satisfied.,0.0024950504302978516,,1.102367532244344,,7.267835135789961
UGC06973,src/sidmkit/sparc_data/Rotmod_LTG/UGC06973_rotmod.dat,18.0,burkert,9,4,4.509731915397926,5,0.9019463830795852,12.509731915397925,13.298630224742805,0.14282902153548496,0.5476733818933891,True,`ftol` termination condition is satisfied.,0.002568483352661133,0.5707160270057645,,8.201834842133676,
UGC06983,src/sidmkit/sparc_data/Rotmod_LTG/UGC06983_rotmod.dat,18.0,nfw,17,3,8.936277141236346,14,0.6383055100883104,14.936277141236346,17.435917173404995,0.4913922648135593,,True,`ftol` termination condition is satisfied.,0.0014472007751464844,,0.9238771798021717,,7.088206460307796
UGC06983,src/sidmkit/sparc_data/Rotmod_LTG/UGC06983_rotmod.dat,18.0,burkert,17,3,6.343546844864973,14,0.4531104889189267,12.343546844864974,14.843186877033624,0.5062118048502078,,True,`ftol` termination condition is satisfied.,0.0011358261108398438,0.5053439504802101,,7.893147978994297,
UGC07089,src/sidmkit/sparc_data/Rotmod_LTG/UGC07089_rotmod.dat,18.0,nfw,12,3,2.6329091545973027,9,0.2925454616219225,8.632909154597304,10.087629103961305,0.4645092997519622,,True,`ftol` termination condition is satisfied.,0.002221345901489258,,2.49999999999973,,4.754806714238861
UGC07089,src/sidmkit/sparc_data/Rotmod_LTG/UGC07089_rotmod.dat,18.0,burkert,12,3,1.51223080359673,9,0.1680256448440811,7.51223080359673,8.96695075296073,0.508075075321977,,True,`ftol` termination condition is satisfied.,0.0012707710266113281,0.810410237600481,,7.044374012424445,
