galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
NGC6015,src/sidmkit/sparc_data/Rotmod_LTG/NGC6015_rotmod.dat,17.0,nfw,44,3,337.7420943048089,41,8.237612056214852,343.7420943048089,349.0946632065637,0.4990555582171094,,True,`ftol` termination condition is satisfied.,0.0015895366668701172,,0.8992975697928426,,7.381744640144934
NGC6015,src/sidmkit/sparc_data/Rotmod_LTG/NGC6015_rotmod.dat,17.0,burkert,44,3,352.73773325554424,41,8.603359347696202,358.73773325554424,364.09030215729905,1.0617344515568354,,True,`ftol` termination condition is satisfied.,0.001979351043701172,1.2984241365612,,6.698359056626948,
NGC6195,src/sidmkit/sparc_data/Rotmod_LTG/NGC6195_rotmod.dat,127.8,nfw,23,4,35.09824885952814,19,1.847276255764639,43.09824885952814,47.64022572324474,0.3860271134603689,0.7200210144902355,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0038695335388183594,,2.4999999999999996,,5.1130648422194405
NGC6195,src/sidmkit/sparc_data/Rotmod_LTG/NGC6195_rotmod.dat,127.8,burkert,23,4,30.27972352967584,19,1.5936696594566233,38.27972352967584,42.82170039339244,0.38528784260562865,0.761657363132173,True,`ftol` termination condition is satisfied.,0.0014662742614746094,1.3639526463222058,,6.814767872645852,
NGC6503,src/sidmkit/sparc_data/Rotmod_LTG/NGC6503_rotmod.dat,6.26,nfw,31,3,40.3512314547783,28,1.441115409099225,46.3512314547783,50.65319306823374,0.3969312378109876,,True,`ftol` termination condition is satisfied.,0.0013442039489746094,,0.8915317441258686,,7.199853932828409
NGC6503,src/sidmkit/sparc_data/Rotmod_LTG/NGC6503_rotmod.dat,6.26,burkert,31,3,65.79941994578498,28,2.3499792837780347,71.79941994578498,76.10138155924042,0.5636375983913683,,True,`ftol` termination condition is satisfied.,0.0014944076538085938,0.6979474356524801,,7.563462727888953,
NGC6674,src/sidmkit/sparc_data/Rotmod_LTG/NGC6674_rotmod.dat,51.2,nfw,15,4,28.450296266215823,11,2.586390569655984,36.45029626621582,39.282497070624665,1.1612371086420161,0.9140064210580545,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.00487518310546875,,2.4999999999999996,,4.957506056968296
NGC6674,src/sidmkit/sparc_data/Rotmod_LTG/NGC6674_rotmod.dat,51.2,burkert,15,4,22.33116095518749,11,2.030105541380681,30.33116095518749,33.16336175959633,1.3143271559189458,0.9051764076208043,True,`ftol` termination condition is satisfied.,0.003591299057006836,1.7561153059552248,,6.172160112136851,
NGC6789,src/sidmkit/sparc_data/Rotmod_LTG/NGC6789_rotmod.dat,3.52,nfw,4,3,4.076897588972961,1,4.076897588972961,10.076897588972962,8.235780672332632,0.4987728351840415,,True,`xtol` termination condition is satisfied.,0.0019834041595458984,,2.495693274582814,,5.559256548756879
NGC6789,src/sidmkit/sparc_data/Rotmod_LTG/NGC6789_rotmod.dat,3.52,burkert,4,3,0.4972795846627284,1,0.4972795846627284,6.497279584662729,4.6561626680224,0.5009004462484553,,True,`ftol` termination condition is satisfied.,0.0016083717346191406,0.12085788805523819,,8.745456277673506,
NGC6798,src/sidmkit/sparc_data/Rotmod_ETG/NGC6798_rotmod.dat,37.3,nfw,2,4,1.5703371575855603e-22,-2,,8.0,2.772588722239781,0.4999999999999557,0.7000000000003243,True,`gtol` termination condition is satisfied.,0.0016062259674072266,,0.22044627518062532,,9.226565025235312
