galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
NGC4010,src/sidmkit/sparc_data/Rotmod_LTG/NGC4010_rotmod.dat,18.0,nfw,12,3,21.629752175742954,9,2.403305797304773,27.629752175742954,29.084472125106956,0.44374871862903803,,True,`ftol` termination condition is satisfied.,0.002683401107788086,,2.4999999981567624,,5.137454157677423
NGC4010,src/sidmkit/sparc_data/Rotmod_LTG/NGC4010_rotmod.dat,18.0,burkert,12,3,13.981173176038391,9,1.553463686226488,19.98117317603839,21.435893125402394,0.44752190463114416,,True,`ftol` termination condition is satisfied.,0.001451730728149414,0.8060205030977511,,7.447672222086131,
NGC4013,src/sidmkit/sparc_data/Rotmod_LTG/NGC4013_rotmod.dat,18.0,nfw,36,4,24.313471557252416,32,0.759795986164138,32.31347155725241,38.647547311076856,0.5711178486226076,0.7896653933924399,True,`ftol` termination condition is satisfied.,0.0038776397705078125,,2.3383383282231938,,5.210914884548677
NGC4013,src/sidmkit/sparc_data/Rotmod_LTG/NGC4013_rotmod.dat,18.0,burkert,36,4,25.464753688646645,32,0.7957735527702077,33.464753688646645,39.79882944247109,0.6358391063509862,0.8200970156126981,True,`ftol` termination condition is satisfied.,0.002258777618408203,1.3620972538523697,,6.707669341732146,
NGC4051,src/sidmkit/sparc_data/Rotmod_LTG/NGC4051_rotmod.dat,18.0,nfw,7,3,3.605709001145218,4,0.9014272502863045,9.605709001145218,9.443439448311157,0.46130173614548253,,True,`ftol` termination condition is satisfied.,0.0013396739959716797,,0.8133188724321494,,7.244963247269899
NGC4051,src/sidmkit/sparc_data/Rotmod_LTG/NGC4051_rotmod.dat,18.0,burkert,7,3,2.6146731810857107,4,0.6536682952714277,8.61467318108571,8.45240362825165,0.4558334028404614,,True,`ftol` termination condition is satisfied.,0.001251220703125,0.47053865748345697,,7.9307549565773625,
NGC4068,src/sidmkit/sparc_data/Rotmod_LTG/NGC4068_rotmod.dat,4.37,nfw,6,3,7.372167125109412,3,2.4573890417031374,13.372167125109412,12.747445532793577,0.47731404674811456,,True,`xtol` termination condition is satisfied.,0.0022890567779541016,,2.4999999994391384,,4.588315988525809
NGC4068,src/sidmkit/sparc_data/Rotmod_LTG/NGC4068_rotmod.dat,4.37,burkert,6,3,0.8439798576197707,3,0.28132661920659024,6.843979857619771,6.219258265303936,0.49018706940497137,,True,`xtol` termination condition is satisfied.,0.0029325485229492188,1.6598884783814771,,7.068625148479666,
NGC4085,src/sidmkit/sparc_data/Rotmod_LTG/NGC4085_rotmod.dat,18.0,nfw,7,3,19.279121919867382,4,4.8197804799668456,25.279121919867382,25.11685236703332,0.2955324718433123,,True,`ftol` termination condition is satisfied.,0.002434968948364258,,2.4999999999999996,,5.377966961519352
NGC4085,src/sidmkit/sparc_data/Rotmod_LTG/NGC4085_rotmod.dat,18.0,burkert,7,3,10.372167764872467,4,2.5930419412181167,16.372167764872465,16.209898212038407,0.2979047232135798,,True,`ftol` termination condition is satisfied.,0.0025513172149658203,0.654445464432937,,7.832418121419325,
NGC4088,src/sidmkit/sparc_data/Rotmod_LTG/NGC4088_rotmod.dat,18.0,nfw,12,3,4.220683828689873,9,0.46896486985443037,10.220683828689873,11.675403778053875,0.384931882446607,,True,`ftol` termination condition is satisfied.,0.0027189254760742188,,2.4999999999085625,,5.001757929080211
NGC4088,src/sidmkit/sparc_data/Rotmod_LTG/NGC4088_rotmod.dat,18.0,burkert,12,3,4.454575576702209,9,0.49495284185580096,10.454575576702208,11.90929552606621,0.44633653162403464,,True,`ftol` termination condition is satisfied.,0.0022826194763183594,1.7423566938712902,,6.455097445296065,
NGC4100,src/sidmkit/sparc_data/Rotmod_LTG/NGC4100_rotmod.dat,18.0,nfw,24,3,18.868121594359074,21,0.8984819806837654,24.868121594359074,28.402283085402914,0.5045070117625285,,True,`ftol` termination condition is satisfied.,0.0011391639709472656,,0.8559677952521549,,7.533855515779459
NGC4100,src/sidmkit/sparc_data/Rotmod_LTG/NGC4100_rotmod.dat,18.0,burkert,24,3,11.543141100284561,21,0.5496733857278363,17.54314110028456,21.077302591328397,0.42494031309867086,,True,`ftol` termination condition is satisfied.,0.0011878013610839844,0.5340058437911563,,8.225757166723902,
NGC4138,src/sidmkit/sparc_data/Rotmod_LTG/NGC4138_rotmod.dat,18.0,nfw,7,4,4.558378247544533,3,1.5194594158481776,12.558378247544532,12.342018843765786,0.4936714817457121,0.6633647100221567,True,`ftol` termination condition is satisfied.,0.0022194385528564453,,0.581065113844036,,7.975967645387096
NGC4138,src/sidmkit/sparc_data/Rotmod_LTG/NGC4138_rotmod.dat,18.0,burkert,7,4,3.3338367099694253,3,1.1112789033231418,11.333836709969425,11.117477306190679,0.49199230125138443,0.6690261893368665,True,`ftol` termination condition is satisfied.,0.0020110607147216797,0.38595900643829373,,8.382635392953127,
NGC4157,src/sidmkit/sparc_data/Rotmod_LTG/NGC4157_rotmod.dat,18.0,nfw,17,4,5.482051245322327,13,0.421696249640179,13.482051245322328,16.814904621547193,0.4867337112090074,0.6346336942765375,True,`xtol` termination condition is satisfied.,0.0037984848022460938,,2.2493227985955624,,5.349192639750842
NGC4157,src/sidmkit/sparc_data/Rotmod_LTG/NGC4157_rotmod.dat,18.0,burkert,17,4,4.816882053914583,13,0.37052938876266023,12.816882053914583,16.149735430139447,0.5290697753484623,0.6467132140864702,True,`ftol` termination condition is satisfied.,0.0021665096282958984,1.2923330988151125,,6.821061326712468,
NGC4183,src/sidmkit/sparc_data/Rotmod_LTG/NGC4183_rotmod.dat,18.0,nfw,23,3,3.5401689294977707,20,0.17700844647488853,9.54016892949777,12.94665157728522,0.5085588074213017,,True,`ftol` termination condition is satisfied.,0.0014176368713378906,,0.9286626379305033,,7.027527830549016
NGC4183,src/sidmkit/sparc_data/Rotmod_LTG/NGC4183_rotmod.dat,18.0,burkert,23,3,7.970277614806498,20,0.3985138807403249,13.970277614806498,17.376760262593947,0.47830708347549655,,True,`ftol` termination condition is satisfied.,0.00140380859375,0.532344748583934,,7.824313033615291,
NGC4203,src/sidmkit/sparc_data/Rotmod_ETG/NGC4203_rotmod.dat,15.3,nfw,2,4,0.2976375398018936,-2,,8.297637539801894,3.070226262041675,0.49851206939535136,0.5970671100682866,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0029706954956054688,,2.499999999999531,,5.37968527607158
NGC4203,src/sidmkit/sparc_data/Rotmod_ETG/NGC4203_rotmod.dat,15.3,burkert,2,4,0.2594359151984032,-2,,8.259435915198404,3.0320246374381843,0.4983885260614812,0.6032476474249385,True,`xtol` termination condition is satisfied.,0.00969552993774414,2.293350834535279,,6.898738053331481,
NGC4214,src/sidmkit/sparc_data/Rotmod_LTG/NGC4214_rotmod.dat,2.87,nfw,14,3,8.030133415859499,11,0.7300121287144999,14.030133415859499,15.947305404705274,0.4896425600707673,,True,`ftol` termination condition is satisfied.,0.0019032955169677734,,0.44418670105188424,,7.797567943375054
NGC4214,src/sidmkit/sparc_data/Rotmod_LTG/NGC4214_rotmod.dat,2.87,burkert,14,3,17.86240060283629,11,1.6238546002578444,23.86240060283629,25.77957259168206,0.5923360249401162,,True,`ftol` termination condition is satisfied.,0.0020542144775390625,0.11826355403010669,,8.425602700370678,
NGC4217,src/sidmkit/sparc_data/Rotmod_LTG/NGC4217_rotmod.dat,18.0,nfw,19,4,38.94467057403755,15,2.5963113716025035,46.94467057403755,50.72242649070331,0.6320011918749757,0.1259477576694609,True,`ftol` termination condition is satisfied.,0.002070188522338867,,1.1164395847995046,,7.168947491168842
NGC4217,src/sidmkit/sparc_data/Rotmod_LTG/NGC4217_rotmod.dat,18.0,burkert,19,4,11.59792009662125,15,0.7731946731080833,19.59792009662125,23.375676013287013,0.5001615876110908,0.1095674040752853,True,`ftol` termination condition is satisfied.,0.002907276153564453,0.5747335200953219,,8.216794342071694,
NGC4262,src/sidmkit/sparc_data/Rotmod_ETG/NGC4262_rotmod.dat,16.6,nfw,2,4,2.4826028992599906e-22,-2,,8.0,2.772588722239781,0.49999999999995204,0.7000000000008434,True,`gtol` termination condition is satisfied.,0.0026416778564453125,,-0.5311261237097188,,10.9324106808979
NGC4262,src/sidmkit/sparc_data/Rotmod_ETG/NGC4262_rotmod.dat,16.6,burkert,2,4,0.5008918555481466,-2,,8.500891855548147,3.273480577787928,0.49914486301067884,0.7457419462926722,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.003912687301635742,-0.5679186676026351,,10.999999999999998,
NGC4278,src/sidmkit/sparc_data/Rotmod_ETG/NGC4278_rotmod.dat,15.4,nfw,2,4,3.600221458858754e-20,-2,,8.0,2.772588722239781,0.49999999999921774,0.7000000000144917,True,`gtol` termination condition is satisfied.,0.0015881061553955078,,0.00529981437867696,,9.755661125489839
NGC4278,src/sidmkit/sparc_data/Rotmod_ETG/NGC4278_rotmod.dat,15.4,burkert,2,4,2.887415720518169e-27,-2,,8.0,2.772588722239781,0.5,0.7000000000000003,True,`gtol` termination condition is satisfied.,0.0023965835571289062,-0.18372740748193683,,10.194803447346294,
NGC4389,src/sidmkit/sparc_data/Rotmod_LTG/NGC4389_rotmod.dat,18.0,nfw,6,3,34.033817586646556,3,11.344605862215518,40.033817586646556,39.40909599433072,0.3219287339197979,,True,`ftol` termination condition is satisfied.,0.001676797866821289,,-1.9667468758603712,,3.020506789823018
NGC4389,src/sidmkit/sparc_data/Rotmod_LTG/NGC4389_rotmod.dat,18.0,burkert,6,3,3.2675904365248862,3,1.089196812174962,9.267590436524886,8.642868844209051,0.15355901060530383,,True,`xtol` termination condition is satisfied.,0.0024764537811279297,2.4991274326314707,,7.190115731152404,
NGC4559,src/sidmkit/sparc_data/Rotmod_LTG/NGC4559_rotmod.dat,9.0,nfw,32,3,8.212195057877594,29,0.2831791399268136,14.212195057877594,18.609402766276773,0.38959311202048563,,True,`ftol` termination condition is satisfied.,0.002218008041381836,,1.2093727226862907,,6.59145524127336
NGC4559,src/sidmkit/sparc_data/Rotmod_LTG/NGC4559_rotmod.dat,9.0,burkert,32,3,6.879437349469171,29,0.23722197756790245,12.879437349469171,17.27664505786835,0.5355184503175853,,True,`ftol` termination condition is satisfied.,0.0013773441314697266,0.8815177072354948,,7.186397716672225,
NGC5005,src/sidmkit/sparc_data/Rotmod_LTG/NGC5005_rotmod.dat,16.9,nfw,18,4,1.1142903143271592,14,0.0795921653090828,9.114290314327159,12.675777345911817,0.49399026555107367,0.5331094809694972,True,`ftol` termination condition is satisfied.,0.0034291744232177734,,2.499999999958764,,5.512099769444397
NGC5005,src/sidmkit/sparc_data/Rotmod_LTG/NGC5005_rotmod.dat,16.9,burkert,18,4,1.1776285414099672,14,0.08411632438642623,9.177628541409968,12.739115572994626,0.4997338484811451,0.5643659626924035,True,`ftol` termination condition is satisfied.,0.0015654563903808594,0.8465739563928881,,7.761684820688646,
NGC5033,src/sidmkit/sparc_data/Rotmod_LTG/NGC5033_rotmod.dat,15.7,nfw,22,4,51.6401213278448,18,2.868895629324711,59.6401213278448,64.00429114127806,0.320338360201143,0.3833577914122036,True,`ftol` termination condition is satisfied.,0.0015680789947509766,,0.9176540076753608,,7.6581355133133275
NGC5033,src/sidmkit/sparc_data/Rotmod_LTG/NGC5033_rotmod.dat,15.7,burkert,22,4,39.860216876844994,18,2.214456493158055,47.860216876844994,52.22438669027826,0.4607705747481473,0.4888024697015622,True,`ftol` termination condition is satisfied.,0.0016124248504638672,0.814740578239221,,7.830527571217489,
NGC5055,src/sidmkit/sparc_data/Rotmod_LTG/NGC5055_rotmod.dat,9.9,nfw,28,3,63.988806860656844,25,2.5595522744262738,69.98880686065684,73.98542039118246,0.3000832623993561,,True,`ftol` termination condition is satisfied.,0.0014638900756835938,,1.0950813081474717,,7.167768472153108
