galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
F571-V1,src/sidmkit/sparc_data/Rotmod_LTG/F571-V1_rotmod.dat,80.1,nfw,7,3,1.5938517648224957,4,0.3984629412056239,7.593851764822496,7.431582211988435,0.5002105814822093,,True,`ftol` termination condition is satisfied.,0.0016186237335205078,,1.4177671212561749,,6.0607684722015795
F571-V1,src/sidmkit/sparc_data/Rotmod_LTG/F571-V1_rotmod.dat,80.1,burkert,7,3,0.1568345162290776,4,0.0392086290572694,6.156834516229077,5.994564963395017,0.4993288118072715,,True,`ftol` termination condition is satisfied.,0.0009970664978027344,0.7355252570359421,,7.246664905456431,
F574-1,src/sidmkit/sparc_data/Rotmod_LTG/F574-1_rotmod.dat,96.8,nfw,14,3,19.674725390052703,11,1.7886113990957002,25.674725390052703,27.59189737889848,0.5157526841171721,,True,`ftol` termination condition is satisfied.,0.0015728473663330078,,1.2041189360684124,,6.550370610315812
F574-1,src/sidmkit/sparc_data/Rotmod_LTG/F574-1_rotmod.dat,96.8,burkert,14,3,1.110163943140845,11,0.10092399483098591,7.110163943140845,9.02733593198662,0.48985229027508065,,True,`ftol` termination condition is satisfied.,0.0009453296661376953,0.5484040724836535,,7.7347457823447,
F574-2,src/sidmkit/sparc_data/Rotmod_LTG/F574-2_rotmod.dat,89.1,nfw,5,3,0.33876923768258593,2,0.16938461884129297,6.338769237682586,5.167082974984886,0.49784197021724985,,True,`gtol` termination condition is satisfied.,0.00276947021484375,,2.4999999999999742,,3.1340536826448893
F574-2,src/sidmkit/sparc_data/Rotmod_LTG/F574-2_rotmod.dat,89.1,burkert,5,3,0.2933753686595555,2,0.14668768432977775,6.2933753686595555,5.121689105961856,0.4963468414435843,,True,`ftol` termination condition is satisfied.,0.0018270015716552734,1.4444455430912502,,5.070064478769735,
F579-V1,src/sidmkit/sparc_data/Rotmod_LTG/F579-V1_rotmod.dat,89.5,nfw,14,3,2.245956792509675,11,0.20417789022815225,8.245956792509675,10.16312878135545,0.501178284646448,,True,`ftol` termination condition is satisfied.,0.0013315677642822266,,0.6226554290576443,,7.677237761194415
F579-V1,src/sidmkit/sparc_data/Rotmod_LTG/F579-V1_rotmod.dat,89.5,burkert,14,3,3.0443832479309414,11,0.2767621134482674,9.044383247930941,10.961555236776716,0.5082707253603997,,True,`ftol` termination condition is satisfied.,0.0037238597869873047,0.21601007472680947,,8.503029844847244,
F583-1,src/sidmkit/sparc_data/Rotmod_LTG/F583-1_rotmod.dat,35.4,nfw,25,3,36.82098541498581,22,1.673681155226628,42.82098541498581,46.47761288959042,0.5074407800946962,,True,`ftol` termination condition is satisfied.,0.0039958953857421875,,1.4871877453727436,,6.008553013381324
F583-1,src/sidmkit/sparc_data/Rotmod_LTG/F583-1_rotmod.dat,35.4,burkert,25,3,4.701157490187191,22,0.2136889768266905,10.70115749018719,14.357784964791792,0.4903954255184784,,True,`ftol` termination condition is satisfied.,0.00225067138671875,0.6657952844381826,,7.406434863781477,
