galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
F574-2,src/sidmkit/sparc_data/Rotmod_LTG/F574-2_rotmod.dat,89.1,nfw,5,3,0.33876923768258593,2,0.16938461884129297,6.338769237682586,5.167082974984886,0.49784197021724985,,True,`gtol` termination condition is satisfied.,0.003219127655029297,,2.4999999999999742,,3.1340536826448893
F574-2,src/sidmkit/sparc_data/Rotmod_LTG/F574-2_rotmod.dat,89.1,burkert,5,3,0.2933753686595555,2,0.14668768432977775,6.2933753686595555,5.121689105961856,0.4963468414435843,,True,`ftol` termination condition is satisfied.,0.0019724369049072266,1.4444455430912502,,5.070064478769735,
F579-V1,src/sidmkit/sparc_data/Rotmod_LTG/F579-V1_rotmod.dat,89.5,nfw,14,3,2.245956792509675,11,0.20417789022815225,8.245956792509675,10.16312878135545,0.501178284646448,,True,`ftol` termination condition is satisfied.,0.0012695789337158203,,0.6226554290576443,,7.677237761194415
F579-V1,src/sidmkit/sparc_data/Rotmod_LTG/F579-V1_rotmod.dat,89.5,burkert,14,3,3.0443832479309414,11,0.2767621134482674,9.044383247930941,10.961555236776716,0.5082707253603997,,True,`ftol` termination condition is satisfied.,0.0013272762298583984,0.21601007472680947,,8.503029844847244,
F583-1,src/sidmkit/sparc_data/Rotmod_LTG/F583-1_rotmod.dat,35.4,nfw,25,3,36.82098541498581,22,1.673681155226628,42.82098541498581,46.47761288959042,0.5074407800946962,,True,`ftol` termination condition is satisfied.,0.0017633438110351562,,1.4871877453727436,,6.008553013381324
F583-1,src/sidmkit/sparc_data/Rotmod_LTG/F583-1_rotmod.dat,35.4,burkert,25,3,4.701157490187191,22,0.2136889768266905,10.70115749018719,14.357784964791792,0.4903954255184784,,True,`ftol` termination condition is satisfied.,0.0009870529174804688,0.6657952844381826,,7.406434863781477,
F583-4,src/sidmkit/sparc_data/Rotmod_LTG/F583-4_rotmod.dat,53.3,nfw,12,3,1.5109711749119377,9,0.1678856861013264,7.510971174911938,8.965691124275939,0.5055375387691418,,True,`ftol` termination condition is satisfied.,0.0018260478973388672,,1.4423913000064752,,5.973367801305091
F583-4,src/sidmkit/sparc_data/Rotmod_LTG/F583-4_rotmod.dat,53.3,burkert,12,3,4.460670591100607,9,0.49563006567784523,10.460670591100607,11.915390540464609,0.5015838424582333,,True,`ftol` termination condition is satisfied.,0.0012793540954589844,0.39713651419857704,,7.650525542298016,
IC2574,src/sidmkit/sparc_data/Rotmod_LTG/IC2574_rotmod.dat,3.91,nfw,34,3,1096.190064948515,31,35.36096983704888,1102.190064948515,1106.7691465223636,0.2395229846931116,,True,`ftol` termination condition is satisfied.,0.002950429916381836,,2.4999999999980167,,4.507468944239273
IC2574,src/sidmkit/sparc_data/Rotmod_LTG/IC2574_rotmod.dat,3.91,burkert,34,3,71.9618036256231,31,2.321348504052358,77.9618036256231,82.54088519947159,0.6711446732475529,,True,`ftol` termination condition is satisfied.,0.002050161361694336,1.1384656008127674,,6.554260159924966,
